English Word;German Translation (Google Translate);Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
aback;erstaunt;0;0;0;0;0;0;0;0;0;0
abacus;Abakus;0;0;0;0;0;0;0;0;0;1
abandon;aufgeben;0;1;0;0;0;1;0;1;0;0
abandoned;verlassen;0;1;1;0;0;1;0;1;0;0
abandonment;Aufgabe;0;1;1;0;0;1;0;1;1;0
abate;verringern;0;0;0;0;0;0;0;0;0;0
abatement;Verminderung;0;0;0;0;0;0;0;0;0;0
abba;abba;1;0;0;0;0;0;0;0;0;0
abbot;Abt;0;0;0;0;0;0;0;0;0;1
abbreviate;abk�rzen;0;0;0;0;0;0;0;0;0;0
abbreviation;Abk�rzung;0;0;0;0;0;0;0;0;0;0
abdomen;Unterleib;0;0;0;0;0;0;0;0;0;0
abdominal;abdominal;0;0;0;0;0;0;0;0;0;0
abduction;Entf�hrung;0;1;0;0;0;1;0;1;1;0
aberrant;aberrant;0;1;0;0;0;0;0;0;0;0
aberration;Aberration;0;1;0;0;1;0;0;0;0;0
abeyance;Unbewusstheit;0;0;0;0;0;0;0;0;0;0
abhor;verabscheuen;0;1;1;0;1;1;0;0;0;0
abhorrent;abscheulich;0;1;1;0;1;1;0;0;0;0
abide;weilen;0;0;0;0;0;0;0;0;0;0
ability;F�higkeit;1;0;0;0;0;0;0;0;0;0
abject;erb�rmlich;0;1;0;0;1;0;0;0;0;0
ablation;Ablation;0;0;0;0;0;0;0;0;0;0
ablaze;in Flammen;0;0;0;0;0;0;0;0;0;0
abnormal;abnormal;0;1;0;0;1;0;0;0;0;0
aboard;an Bord;0;0;0;0;0;0;0;0;0;0
abode;Wohnsitz;0;0;0;0;0;0;0;0;0;0
abolish;abschaffen;0;1;1;0;0;0;0;0;0;0
abolition;Abschaffung;0;1;0;0;0;0;0;0;0;0
abominable;abscheulich;0;1;0;0;1;1;0;0;0;0
abomination;Abscheulichkeit;0;1;1;0;1;1;0;0;0;0
aboriginal;Ureinwohner;0;0;0;0;0;0;0;0;0;0
abort;abbrechen;0;1;0;0;0;0;0;0;0;0
abortion;Abtreibung;0;1;0;0;1;1;0;1;0;0
abortive;abortiv;0;1;0;0;0;0;0;1;0;0
abound;reichlich;0;0;0;0;0;0;0;0;0;0
abovementioned;oben erw�hnt;1;0;0;0;0;0;0;0;0;0
abrasion;Abrieb;0;1;0;0;0;0;0;0;0;0
abroad;im Ausland;0;0;0;0;0;0;0;0;0;0
abrogate;au�er Kraft setzen;0;1;0;0;0;0;0;0;0;0
abrupt;abrupt;0;0;0;0;0;0;0;0;1;0
abruptly;schlagartig;0;0;0;0;0;0;0;0;0;0
abscess;Abszess;0;1;0;0;0;0;0;1;0;0
absence;Abwesenheit;0;1;0;0;0;1;0;1;0;0
absent;abwesend;0;1;0;0;0;0;0;1;0;0
absentee;Abwesende;0;1;0;0;0;0;0;1;0;0
absenteeism;Arbeitsvers�umnis;0;1;0;0;0;0;0;0;0;0
absinthe;Absinth;0;0;0;0;0;0;0;0;0;0
absolute;absolut;1;0;0;0;0;0;0;0;0;0
absolution;Absolution;1;0;0;0;0;0;1;0;0;1
absorbed;versunken;1;0;0;0;0;0;0;0;0;0
absorbent;saugf�hig;0;0;0;0;0;0;0;0;0;0
absorbing;absorbierend;0;0;0;0;0;0;0;0;0;0
absorption;Absorption;0;0;0;0;0;0;0;0;0;0
abstain;verzichten;0;0;0;0;0;0;0;0;0;0
abstention;Enthaltung;0;0;0;0;0;0;0;0;0;0
abstinence;Abstinenz;0;0;0;0;0;0;0;0;0;0
abstract;Zusammenfassung;0;0;0;0;0;0;0;0;0;0
abstraction;Abstraktion;0;0;0;0;0;0;0;0;0;0
absurd;absurd;0;1;0;0;0;0;0;0;0;0
absurdity;Absurdit�t;0;1;0;0;0;0;0;0;0;0
abundance;�berfluss;1;1;0;1;1;0;1;0;0;1
